Site Code,School Name,Excellent %,Good %,Fair %,Needs Improvement %,Total #
036064,Edna Karr High School,27,50,18,5, 260
036079,Lusher Charter School,68,26,5,1, 110
036088,McDonogh #35 College Preparatory School,1,11,47,42, 10
036096,Eleanor McMain Secondary School,NA,NA,NA,NA,NA
036163,New Orleans Charter Science and Mathemat,35,48,8,9, 80
037,Ouachita Parish,25,36,26,13, 1300
037019,Ouachita Parish High School,20,34,30,16, 290
037032,Sterlington High School,30,38,17,16, 100
037036,West Monroe High School,32,37,22,9, 500
037046,West Ouachita High School,26,40,27,6, 260
037049,Richwood High School,6,29,37,28, 140
038,Plaquemines Parish,37,38,19,6, 310
038001,Belle Chasse High School,36,37,20,7, 220
038006,Phoenix High School,1,10,50,40, 10
038013,South Plaquemines High School,46,42,12,1, 70
039,Pointe Coupee Parish,16,44,25,15, 170
039003,Livonia High School,16,44,25,15, 170
040,Rapides Parish,22,34,27,17, 1290
040003,Alexandria Senior High School,24,34,27,14, 290
040006,Bolton High School,24,37,24,14, 90
040011,Buckeye High School,17,43,34,5, 120
040014,Glenmora High School,33,36,25,6, 30
040028,Oak Hill High School,24,46,18,12, 50
040030,Peabody Magnet High School,2,20,31,47, 100
040033,Pineville High School,21,24,30,25, 300
040035,Plainview High School,23,54,23,1, 10
040037,Rapides High School,21,54,14,11, 50
040048,Tioga High School,31,37,19,13, 180
040055,Northwood High School,13,44,34,9, 30
041,Red River Parish,14,37,33,16, 70
041002,Red River High School,14,37,33,16, 70
042,Richland Parish,10,25,35,29, 240
042001,Delhi High School,2,19,21,57, 40
042006,Mangham High School,15,36,32,17, 90
042008,Rayville High School,9,18,44,29, 110
043,Sabine Parish,30,41,21,9, 260
043001,Converse High School,19,41,27,14, 30
043002,Ebarb School,11,28,39,22, 10
043004,Florien High School,31,44,17,8, 30
043006,Many High School,51,39,5,4, 70
043008,Negreet High School,26,44,26,5, 30
043010,Pleasant Hill High School,1,54,31,15, 10
043012,Zwolle High School,24,39,27,10, 50
044,St. Bernard Parish,44,35,14,7, 460
044006,Chalmette High School,45,35,14,7, 440
044019,C.F. Rowley Alternative School,15,40,30,15, 20
045,St. Charles Parish,35,35,24,6, 680
045003,Destrehan High School,33,33,28,6, 330
045005,Hahnville High School,36,37,20,7, 340
046,St. Helena Parish,5,41,34,21, 100
046002,St. Helena College and Career Academy,5,41,34,21, 100
047,St. James Parish,35,33,17,15, 240
047004,Lutcher High School,34,28,18,20, 140
047008,St. James High School,37,41,16,7, 100
048,St. John the Baptist Parish,22,38,28,12, 330
048001,East St. John High School,21,39,28,12, 300
048013,West St. John High School,30,27,27,17, 30
049,St. Landry Parish,20,30,34,16, 270
049010,Eunice High School,NA,NA,NA,NA,NA
049032,Opelousas Senior High School,45,22,28,6, 60
049051,North Central High School,NA,NA,NA,NA,NA
049052,Beau Chene High School,13,37,35,15, 170
049053,Northwest High School,6,11,33,50, 10
049056,Port Barre High School,NA,NA,NA,NA,NA
049058,Magnet Academy for Cultural Arts,NA,NA,NA,NA,NA
050,St. Martin Parish,13,28,38,21, 550
050004,Breaux Bridge High School,10,25,41,24, 230
050008,Cecilia High School,23,34,33,10, 140
050017,St. Martinville Senior High School,9,27,37,26, 180
051,St. Mary Parish,24,31,27,17, 640
051006,Berwick High School,40,37,18,5, 140
051007,Centerville High School,18,20,49,13, 50
051012,Franklin Senior High School,9,31,35,26, 110
051021,Morgan City High School,29,32,23,16, 150
051024,Patterson High School,21,33,27,20, 80
051039,West St. Mary High School,13,29,29,29, 90
052,St. Tammany Parish,42,32,19,7, 2530
052007,Boyet Junior High School,NA,NA,NA,NA,NA
052013,Covington High School,30,35,25,10, 340
052026,Mandeville High School,59,28,9,4, 420
052027,Mandeville Junior High School,NA,NA,NA,NA,NA
052029,Pearl River High School,20,42,29,9, 160
052034,Creekside Junior High,NA,NA,NA,NA,NA
052035,Salmen High School,24,30,27,19, 190
052037,Slidell High School,27,35,29,9, 360
052038,Slidell Junior High School,NA,NA,NA,NA,NA
052039,Northshore High School,46,31,17,6, 390
052052,Fontainebleau High School,52,26,16,6, 380
052053,Fontainebleau Junior High School,NA,NA,NA,NA,NA
052061,Lakeshore High School,53,35,10,3, 240
053,Tangipahoa Parish,24,30,27,19, 1050
053002,Amite High School,3,18,37,41, 120
053009,Hammond High Magnet School,19,34,32,16, 200
053012,Independence High School,7,53,20,20, 30
053015,Kentwood High Magnet School,11,32,29,29, 30
053017,Loranger High School,34,33,23,10, 140
053024,Ponchatoula High School,39,31,20,10, 370
053029,Jewel M. Sumner High School,12,23,38,28, 120
053052,Tangipahoa Alternative Solutions Program,1,5,11,84, 10
054,Tensas Parish,16,24,30,30, 50
054001,Tensas High School,16,24,30,30, 50
055,Terrebonne Parish,44,33,16,7, 860
055005,H. L. Bourgeois High School,49,33,15,3, 280
055013,Ellender Memorial High School,32,39,16,12, 170
055020,Houma Junior High School,90,10,1,1, 30
055034,South Terrebonne High School,40,38,16,6, 140
055036,Terrebonne High School,43,29,20,8, 240
056,Union Parish,11,28,34,28, 140
056002,Downsville Charter School,1,14,32,54, 20
056004,Union Parish High School,13,31,35,21, 120
057,Vermilion Parish,50,33,14,3, 440
057001,Abbeville High School,45,33,20,2, 80
057006,Erath High School,71,21,7,1, 100
057008,Gueydan High School,28,55,10,7, 20
057013,Kaplan High School,39,41,16,3, 80
057016,North Vermilion High School,50,31,16,4, 130
058,Vernon Parish,21,40,27,12, 550
058001,Anacoco High School,34,34,27,5, 40
058004,Hicks High School,54,35,12,1, 20
058005,Hornbeck High School,14,55,24,7, 20
058006,Leesville High School,18,40,29,13, 200
058009,Pickering High School,22,38,23,18, 110
058010,Pitkin High School,4,27,42,27, 20
058012,Rosepine High School,25,44,22,9, 90
058013,Simpson High School,4,33,48,15, 20
059,Washington Parish,16,34,33,17, 350
059006,Franklinton High School,18,38,29,14, 190
059007,Mt. Hermon School,1,24,33,43, 20
059008,Pine School,21,32,32,15, 90
059011,Varnado High School,4,22,53,20, 40
060,Webster Parish,19,34,29,19, 430
060005,Doyline High School,21,42,25,13, 20
060012,Minden High School,11,28,41,21, 170
060018,Lakeside Junior-Senior High School,21,46,24,10, 70
060019,North Webster High School,25,35,19,21, 160
061,West Baton Rouge Parish,31,33,24,12, 260
061001,Brusly High School,41,35,16,8, 150
061008,Port Allen High School,17,31,34,18, 100
062,West Carroll Parish,20,40,32,8, 110
062001,Epps High School,9,18,55,18, 20
062003,Forest School,45,36,18,1, 10
062005,Kilbourne High School,9,59,27,5, 20
062006,Oak Grove High School,24,42,27,7, 50
063,West Feliciana Parish,47,30,17,6, 160
063003,West Feliciana High School,47,30,17,6, 160
064,Winn Parish,17,39,32,12, 170
064001,Atlanta High School,19,38,24,19, 20
064002,Calvin High School,10,52,29,10, 20
064003,Dodson High School,7,50,43,1, 20
064009,Winnfield High School,21,34,31,14, 100
065,City of Monroe School District,15,35,32,17, 480
065002,Carroll High School,1,29,47,23, 90
065014,Neville High School,26,35,23,16, 230
065018,Wossman High School,8,39,37,16, 140
065023,Sherrouse School,NA,NA,NA,NA,NA
066,City of Bogalusa School District,2,17,51,30, 80
066002,Bogalusa High School,2,17,51,30, 80
067,Zachary Community School District,52,24,17,7, 390
067002,Northwestern Middle School,NA,NA,NA,NA,NA
067004,Zachary High School,48,27,18,8, 360
068,City of Baker School District,1,21,36,42, 90
068002,Baker High School,1,21,36,42, 90
069,Central Community School District,38,40,15,7, 360
069003,Central Middle School,85,15,1,1, 20
069004,Central High School,35,41,16,7, 340
307001,Howard School,NA,NA,NA,NA,NA
101,Special School District,NA,NA,NA,NA,NA
101031,Renaissance Home for Youth,NA,NA,NA,NA,NA
302006,Louisiana School for Math Science & the,70,30,1,1, 20
304,LA Schools for the Deaf and Visually Imp,NA,NA,NA,NA,NA
304001,Louisiana School for the Deaf,NA,NA,NA,NA,NA
304002,Louisiana School for the Visually Impair,NA,NA,NA,NA,NA
334001,New Orleans Center for Creative Arts,26,52,16,5, 60
328002,Lake Charles College Prep,NA,NA,NA,NA,NA
333001,Avoyelles Public Charter School,63,33,3,1, 60
336001,Delhi Charter School,19,35,38,8, 50
337001,Belle Chasse Academy,NA,NA,NA,NA,NA
341001,D'Arbonne Woods Charter School,36,40,24,1, 50
343001,Madison Preparatory Academy,18,55,22,6, 90
343002,Louisiana Virtual Charter Academy,32,29,22,16, 90
344001,International High School of New Orleans,8,42,34,16, 210
345001,Louisiana Connections Academy,18,27,30,24, 140
348001,New Orleans Military/Maritime Academy,25,44,23,8, 140
349001,JS Clark Leadership Academy,NA,NA,NA,NA,NA
3A1001,JCFA-East,NA,NA,NA,NA,NA
3A4001,Delta Charter School MST,18,45,32,5, 30
3A6001,Northshore Charter School,6,22,44,28, 10
3A9001,Vision Academy,9,1,18,73, 10
3B5001,Northeast Claiborne Charter,1,30,48,22, 20
318001,LSU Laboratory School,72,17,9,2, 110
319001,Southern University Lab School,13,38,38,13, 40
319002,Southern University Laboratory Virtual S,11,28,39,22, 10
323002,Grambling State University Lab High Scho,1,10,65,25, 20
A02002,Riverside Alternative High School,1,9,27,64, 10
A02003,Southside Alternative High School,NA,NA,NA,NA,NA
001036,AMIkids Acadiana,NA,NA,NA,NA,NA
033010,Christian Acres Alternative School,NA,NA,NA,NA,NA
041008,Ware Youth Center,NA,NA,NA,NA,NA
053045,Florida Parishes Juvenile Detention Cntr,NA,NA,NA,NA,NA
RBR,Recovery School DistrictBaton Rouge,1,14,29,58, 70
3B9001,Capitol High School,1,14,29,58, 70
RNO,Recovery School DistrictNew Orleans,21,33,25,22, 1160
300003,Lake Area New Tech Early College High Sc,17,44,23,15, 230
360001,The NET Charter High School,8,15,54,23, 10
361001,Crescent Leadership Academy,1,7,26,67, 20
362001,John McDonogh High School,NA,NA,NA,NA,NA
369002,ReNEW SciTech Academy at Laurel,NA,NA,NA,NA,NA
369004,ReNEW Accelerated High School City Park,11,17,28,44, 10
369005,ReNEW Accelerated High School West Bank,NA,NA,NA,NA,NA
382001,Sci Academy,48,35,11,5, 90
382002,G. W. Carver Collegiate Academy,22,48,23,6, 60
382003,G. W. Carver Preparatory Academy,10,52,30,8, 60
384001,Miller-McCoy Academy for Mathematics and,1,1,17,83, 30
385002,Cohen College Prep,61,22,16,2, 50
391001,Dr. Martin Luther King Charter School fo,21,45,22,12, 50
395005,Lord Beaconsfield Landry-Oliver Perry Wa,27,28,26,20, 200
395007,Algiers Technology Academy,24,31,29,16, 50
397001,Sophie B. Wright Institute of Academic E,14,38,34,14, 20
398005,KIPP Renaissance High School,22,43,29,6, 80
399003,Joseph S. Clark Preparatory High School,1,15,28,57, 140
500010,St. Frederick High School (C),NA,NA,NA,NA,NA
501003,Holy Savior Menard Central High School,NA,NA,NA,NA,NA
502001,Ascension Diocesan Regional School (C),1,30,60,10, 10
502003,Catholic High of Pointe Coupee (C),NA,NA,NA,NA,NA
502012,Redemptorist Diocesan Regional High Scho,1,17,25,58, 10
502024,St. John High School (C),NA,NA,NA,NA,NA
502036,St. Michael the Archangel Diocesan Regio,NA,NA,NA,NA,NA
502039,St. Thomas Aquinas Diocesan Regional HS,NA,NA,NA,NA,NA
506061,St. Augustine Senior High School (C),5,47,42,5, 10
506066,St. Charles Catholic High School (C),NA,NA,NA,NA,NA
506095,St. Mary's Academy (Girls) (C),1,19,38,44, 10
506122,St. Katharine Drexel Preparatory School,NA,NA,NA,NA,NA
571001,Lighthouse Christian Preparatory School,NA,NA,NA,NA,NA
616001,Lutheran High School (L),1,17,33,50, 10
619001,University Academy,22,34,29,15, 40
652001,Riverside Academy,NA,NA,NA,NA,NA
667001,John Paul The Great Academy,NA,NA,NA,NA,NA
674001,Angles Academy,1,36,64,1, 10
702001,Hosanna Christian Academy (AG),NA,NA,NA,NA,NA
705001,Greater Baton Rouge Hope Academy,NA,NA,NA,NA,NA
719001,Evangel Christian Academy (AG),NA,NA,NA,NA,NA
722001,Jehovah-Jireh Christian Academy,NA,NA,NA,NA,NA
735001,Northlake Christian High School,NA,NA,NA,NA,NA
785001,Westminster Christian Academy,NA,NA,NA,NA,NA
886001,Claiborne Christian School (CG),36,45,15,3, 30
898001,Louisiana New School Academy,NA,NA,NA,NA,NA
927001,Life of Christ Christian Academy/Alterna,NA,NA,NA,NA,NA
988001,Riverdale Christian Academy,NA,NA,NA,NA,NA
992001,Union Christian Academy,NA,NA,NA,NA,NA
